cityName,wellnessCentreName,card_type,count
"DELHI AND NCR",KAROLBAGH,Pensioner,66
"DELHI AND NCR","PUSA ROAD",Jaurnalist,16
"DELHI AND NCR","PANDARA ROAD ",Jaurnalist,13
"DELHI AND NCR","NETAJI NAGAR",Jaurnalist,4
"DELHI AND NCR","CHANKAYA PURI","Rajya Sabha MP",9
"DELHI AND NCR","KASTURBA NAGAR-I",Jaurnalist,9
"DELHI AND NCR","KASTURBA NAGAR-I",Serving,11213
"DELHI AND NCR","TILAK NAGAR","Freedom Fighter",3
"DELHI AND NCR","PRESIDENTS ESTATE",Serving,3136
"DELHI AND NCR","CAG BUILDING",Pensioner,42
"DELHI AND NCR","NANAK PURA",Pensioner,2726
"DELHI AND NCR","NAUROJI NAGAR","Ex MP",4
"DELHI AND NCR","SOUTH AVENUE",Pensioner,758
"DELHI AND NCR","SOUTH AVENUE","Rajya Sabha MP",115
"DELHI AND NCR","VILLAGE JHARODA KALAN  NAJAFGARH",Jaurnalist,19
"DELHI AND NCR","VILLAGE JHARODA KALAN  NAJAFGARH",Serving,56527
"DELHI AND NCR","TELEGRAPH LANE",Pensioner,1028
"DELHI AND NCR","TELEGRAPH LANE",Serving,2260
"DELHI AND NCR","DWARKA SECTOR 9",Serving,63114
"DELHI AND NCR","ANDREWS GANJ",Serving,9600
"DELHI AND NCR","MINTO ROAD",Pensioner,2044
"DELHI AND NCR","MINTO ROAD","Ex MP",3
"DELHI AND NCR","JUNG PURA",Jaurnalist,54
"DELHI AND NCR","JUNG PURA",Pensioner,1884
"DELHI AND NCR","MALVIYA NAGAR","Ex MP",12
"DELHI AND NCR","KALKA  JI - I",Jaurnalist,48
"DELHI AND NCR","KALKA  JI - I",Pensioner,6189
"DELHI AND NCR","DR Z.H ROAD",Jaurnalist,25
"DELHI AND NCR","DR Z.H ROAD",Serving,2285
"DELHI AND NCR","DR Z.H ROAD","Ex MP",60
"DELHI AND NCR","NEW RAJINDER NAGAR",Serving,3167
"DELHI AND NCR","R K PURAM-II",Pensioner,2531
"DELHI AND NCR","R K PURAM-II","Ex MP",1
"DELHI AND NCR","HAUZ KHAS",Jaurnalist,42
"DELHI AND NCR","HAUZ KHAS",Serving,8056
"DELHI AND NCR",PAHARGANJ,Pensioner,1717
"DELHI AND NCR",PAHARGANJ,Serving,5526
"DELHI AND NCR",PAHARGANJ,"Ex MP",3
"DELHI AND NCR","R K PURAM-III ",Pensioner,3373
"DELHI AND NCR","PHA (ANNEXE) ",Serving,6
"DELHI AND NCR","PHA (ANNEXE) ","Ex MP",38
GUWAHATI,"GUWAHATI 3","Freedom Fighter",4
GUWAHATI,"GUWAHATI 3",Serving,17576
GUWAHATI,"GUWAHATI 3","Ex MP",12
GUWAHATI,DIBRUGARH,Pensioner,318
GUWAHATI,SILCHAR,Serving,3749
GUWAHATI,SILCHAR,Pensioner,487
HYDERABAD,GUNTUR,Pensioner,3448
HYDERABAD,ALWAL,Pensioner,12043
HYDERABAD,"VISAKHAPATNAM WC NO 2",Serving,6655
HYDERABAD,VIJYAWADA,"Ex MP",2
HYDERABAD,CHARMINAR,Serving,1700
HYDERABAD,"A. G COLONY","Freedom Fighter",192
HYDERABAD,"KAKATIYA NAGAR",Pensioner,10952
HYDERABAD,"HUMAYUN NAGAR",Pensioner,8656
HYDERABAD,"HUMAYUN NAGAR",Serving,6083
HYDERABAD,"PADMARAO NAGAR","Ex MP",2
HYDERABAD,BEGUMPET,"Freedom Fighter",3237
HYDERABAD,BEGUMPET,"Lok Sabha MP",15
HYDERABAD,"HIMAYAT NAGAR",Serving,5554
HYDERABAD,KANCHANBAGH,"Freedom Fighter",13
JABALPUR,"Head Post Office Compound","Rajya Sabha MP",2
JABALPUR,"Head Post Office Compound",Pensioner,10375
JABALPUR,"Vaidyanathan Nagar",Pensioner,19584
JABALPUR,"Napier Town","Ex MP",4
JAIPUR,AJMER,Pensioner,3217
JAIPUR,"JYOTI NAGAR","Ex MP",12
JAIPUR,"MALVIYA NAGAR",Serving,9159
JAIPUR,"MALVIYA NAGAR","Ex MP",5
JAIPUR,"Polyclinic A.G. Colony Bajaj Nagar, ",Serving,11
JAIPUR,JODHPUR,Pensioner,3200
JAIPUR,JODHPUR,Serving,8708
JAIPUR,KOTA,"Freedom Fighter",5
JAIPUR,KOTA,Pensioner,868
KANPUR,"PANDU NAGAR",Serving,2778
KANPUR,"AZAD NAGAR",Serving,1895
KANPUR,"CIVIL LINES",Serving,2156
KANPUR,"KHAPRA MOHAL",Serving,2733
KOLKATA,JALPAIGURI,Pensioner,855
KOLKATA,JALPAIGURI,Serving,1508
KOLKATA,JALPAIGURI,"Ex MP",2
KOLKATA,SILIGURI,Serving,7117
KOLKATA,"Air India",Pensioner,14
KOLKATA,"SALT LAKE  IC BLOCK DISPENSARY","Ex MP",17
KOLKATA,NARKELDANGA,Serving,2887
KOLKATA,SHYAMBAZAR,Serving,2619
KOLKATA,RAJDANGA,Serving,6743
KOLKATA,"BHOWANIPUR KALIGHAT",Serving,1251
KOLKATA,"BBD BAG ","Ex MP",72
KOLKATA,"SANTRAGACHI ",Pensioner,4025
KOLKATA,"SANTRAGACHI ",Serving,3493
KOLKATA,"SALT LAKE ,AF","Freedom Fighter",22
KOLKATA,AIRPORT,"Freedom Fighter",102
KOLKATA,"LAKE TOWN","Freedom Fighter",77
KOLKATA,"LAKE TOWN",Pensioner,5507
KOLKATA,TOLLYGUNJ,"Freedom Fighter",123
KOLKATA,"SALT LAKE  EB",Serving,3635
LUCKNOW,Lucknow3,Pensioner,5557
LUCKNOW,Lucknow3,"Ex MP",4
LUCKNOW,Lucknow5,"Freedom Fighter",1
LUCKNOW,"GOL Market","Ex MP",4
LUCKNOW,"GOL Market",Serving,1273
LUCKNOW,"Lucknow 1",Serving,10537
MEERUT,"Shastri Nagar Meerut",Serving,2572
MEERUT,"Lekha Nagar Meerut","Freedom Fighter",2
MEERUT,"Gill Colony Saharanpur",Pensioner,867
MUMBAI,NASHIK,Serving,7023
MUMBAI,AMBARNATH,Pensioner,12666
MUMBAI,"CBD BELAPUR",Serving,23651
MUMBAI,WAKOLA,Serving,2052
MUMBAI,MULUND,Pensioner,10145
MUMBAI,MULUND,Serving,2837
MUMBAI,KANDIVALI,Pensioner,19336
MUMBAI,KANDIVALI,Serving,5128
MUMBAI,"PAREL ",Serving,4149
MUMBAI,JUHU,"Freedom Fighter",16
MUMBAI,WORLI,Serving,2902
MUMBAI,THAKURLI,Serving,2994
MUMBAI,SANTAKRUZ,Serving,4301
NAGPUR,"CHINDWARA ROAD",Serving,502
NAGPUR,"KATOL ROAD",Pensioner,6331
NAGPUR,"SEMINARY HILLS",Pensioner,2599
NAGPUR,ITWARI,"Freedom Fighter",12
NAGPUR,ITWARI,"Lok Sabha MP",2
NAGPUR,ITWARI,Pensioner,3778
NAGPUR,"MEDICAL SQUARE","Freedom Fighter",4
NAGPUR,"MEDICAL SQUARE",Serving,2432
NAGPUR,"SHANKAR NAGAR","Lok Sabha MP",1
NAGPUR,"SHANKAR NAGAR",Pensioner,5424
NAGPUR,"SHANKAR NAGAR",Serving,2625
NAGPUR,SITABULDI,"Freedom Fighter",13
NAGPUR,"SANKAR DARA","Freedom Fighter",21
PATNA,GAYA,Pensioner,155
PATNA,DARBHANGA,Serving,844
PATNA,DARBHANGA,Pensioner,174
PATNA,DARBHANGA,"Freedom Fighter",1
PATNA,"BORING CANAL ROAD","Ex MP",8
PATNA,"SOUTH CHAJU BAGH",Serving,2
PATNA,"KANKAR BAGH","Ex MP",1
PRAYAGRAJ,"Kendranchal Colony",Pensioner,4222
PRAYAGRAJ,Drummond,"Ex MP",1
PRAYAGRAJ,"Jawahar Lal Nehru Road",Pensioner,6183
PRAYAGRAJ,"Jawahar Lal Nehru Road","Freedom Fighter",3
PUNE,"GT ROAD EAST STREET","Ex MP",3
PUNE,"PUNE Polyclinic",Pensioner,2
PUNE,"GST BHAVAN AURANGABAD ",Pensioner,1438
PUNE,"PUNE CAMP",Serving,4251
PUNE,"PUNE CAMP","Freedom Fighter",19
PUNE,"PHULENAGAR, YERWADA",Pensioner,17112
PUNE,"Air India",Pensioner,18
PUNE,"RANGE HILLS, KIRKEE",Pensioner,13539
PUNE,"RANGE HILLS, KIRKEE","Rajya Sabha MP",1
PUNE,"RANGE HILLS, KIRKEE","Ex MP",3
PUNE,"MUKUND NAGAR",Pensioner,17278
PUNE,"SHUKRAWAR PETH",Serving,2154
PUNE,"SHUKRAWAR PETH","Ex MP",2
RANCHI,DHANBAD,Pensioner,843
TRIVANDRUM,COCHIN,Pensioner,8859
TRIVANDRUM,TRIVANDRUM,"Ex MP",7
TRIVANDRUM,CALICUT,Pensioner,5117
TRIVANDRUM,KANNUR,Serving,393
AHMEDABAD,Vadodara,Pensioner,4383
AHMEDABAD,"ASHRAM ROAD",Serving,8538
AHMEDABAD,VEJALPUR,Pensioner,1855
AHMEDABAD,VEJALPUR,"Ex MP",1
AHMEDABAD,NAVRANGPURA,Serving,5850
AHMEDABAD,NAVRANGPURA,"Ex MP",20
AHMEDABAD,"PRAGATINAGAR, NARANPURA",Pensioner,5104
AHMEDABAD,NARODA,"Freedom Fighter",3
AHMEDABAD,NARODA,"Ex MP",9
AHMEDABAD,"GANDHI NAGAR",Serving,20681
AHMEDABAD,BOPAL,Serving,1316
BENGALURU,"KA SESHADRIPURAM",Pensioner,10243
BENGALURU,"KA SHIVAJINAGAR","Freedom Fighter",7
BENGALURU,"Mysuru Wellness center",Pensioner,3771
BENGALURU,"KA CGHS POLYCLINIC SHIVAJINAGAR",Serving,4
BENGALURU,"KA C. V. RAMAN NAGAR","Freedom Fighter",2
BENGALURU,"KA DOMLUR",Serving,8434
BENGALURU,"KA KORAMANGALA",Serving,10910
BENGALURU,"KA KORAMANGALA",Pensioner,6852
BENGALURU,"KA JAYANAGAR","Ex MP",27
BHOPAL,"JAHANGIRABAD BP – 1",Serving,11859
BHOPAL,"VASANT KUNJ BP – 2","Ex MP",12
BHUBANESHWAR,BHUBANESHWAR,Pensioner,2
BHUBANESHWAR,BHUBANESHWAR,Serving,3
BHUBANESHWAR," CGHS WC BERHAMPUR",Serving,1480
BHUBANESHWAR,"PMG Square",Pensioner,4814
CHANDIGARH,"CHD Sec 45",Pensioner,31315
CHANDIGARH,JAMMU,Serving,12815
CHANDIGARH," PANCHKULA ",Serving,1339
CHANDIGARH,JAMMU,Pensioner,7116
CHANDIGARH,JALANDHAR,Pensioner,11559
CHANDIGARH,SHIMLA,Serving,4228
CHANDIGARH,JAMMU,"Freedom Fighter",1
CHENNAI,MEENAMBAKKAM,"Ex MP",9
CHENNAI,NANDAMBAKKAM,"Ex MP",10
CHENNAI,NUNGAMBAKKAM,Serving,4438
CHENNAI,PERAMBUR,Serving,4423
CHENNAI,RAPURAM,"Freedom Fighter",3
CHENNAI,TRIPLICANE,"Freedom Fighter",4
CHENNAI,TRIPLICANE,Serving,2185
CHENNAI,TRICHY,"Freedom Fighter",4
CHENNAI,TRICHY,Serving,2707
CHENNAI,TRICHY,"Ex MP",5
CHENNAI,VEPERY,"Freedom Fighter",30
CHENNAI,VEPERY,Pensioner,1516
CHENNAI,VEPERY,"Ex MP",2
CHENNAI,ADYAR,"Freedom Fighter",10
CHENNAI,"ANNA NAGAR","Ex MP",73
CHENNAI,AVADI,Pensioner,17297
CHENNAI,AVADI,Serving,10427
CHENNAI,GUINDY,Serving,3978
CHENNAI,"K K NAGAR",Serving,9815
DEHRADUN,"RAIPUR ROAD",Serving,8710
"DELHI AND NCR","RAJOURI GARDEN","Freedom Fighter",4
"DELHI AND NCR","RAJOURI GARDEN",Serving,10493
"DELHI AND NCR","RAJOURI GARDEN","Ex MP",3
"DELHI AND NCR","R K PURAM-V",Serving,12064
"DELHI AND NCR","RAJPUR ROAD",Serving,2259
"DELHI AND NCR","SUBZI MANDI",Jaurnalist,6
"DELHI AND NCR","KINGSWAY CAMP","Ex MP",1
"DELHI AND NCR",JANAKPURI-I,Pensioner,20004
"DELHI AND NCR",JANAKPURI-I,Serving,42939
"DELHI AND NCR","SADIQ NAGAR","Ex MP",4
"DELHI AND NCR","MEHRAULI BADARPUR ROAD (M B ROAD)","Freedom Fighter",3
"DELHI AND NCR","MEHRAULI BADARPUR ROAD (M B ROAD)",Pensioner,7614
"DELHI AND NCR","LAXMI NAGAR",Jaurnalist,487
"DELHI AND NCR","LAXMI NAGAR",Pensioner,12473
"DELHI AND NCR","TIMAR PUR ",Jaurnalist,53
"DELHI AND NCR","TIMAR PUR ",Pensioner,5965
"DELHI AND NCR","GURUGRAM SECTOR 5","Freedom Fighter",46
"DELHI AND NCR","KALI BARI",Serving,6971
"DELHI AND NCR","MAYUR VIHAR TRILOK KUNJ",Serving,20566
"DELHI AND NCR","PUSHP VIHAR(PUSHP VIHAR SECTOR 4) ","Freedom Fighter",2
"DELHI AND NCR","PUSHP VIHAR(PUSHP VIHAR SECTOR 4) ",Jaurnalist,97
"DELHI AND NCR","PUSHP VIHAR(PUSHP VIHAR SECTOR 4) ",Pensioner,8406
"DELHI AND NCR","PUSHP VIHAR(PUSHP VIHAR SECTOR 4) ",Serving,51023
"DELHI AND NCR","VIVEK VIHAR","Freedom Fighter",1
"DELHI AND NCR","VIVEK VIHAR",Jaurnalist,83
"DELHI AND NCR","PASCHIM VIHAR","Ex MP",7
"DELHI AND NCR","SUNDER VIHAR ",Pensioner,6585
"DELHI AND NCR","NOIDA ","Ex MP",8
"DELHI AND NCR","DILSHAD GARDEN","Freedom Fighter",2
"DELHI AND NCR","LODHI ROAD-I (ALI GANJ)",Serving,7223
"DELHI AND NCR","SARITA VIHAR",Pensioner,5731
"DELHI AND NCR","SARITA VIHAR","Ex MP",2
"DELHI AND NCR","VASANT KUNJ","Ex MP",15
"DELHI AND NCR","GURUGRAM SECTOR 55",Serving,17084
"DELHI AND NCR","NOIDA SECTOR 82","Ex MP",1
"DELHI AND NCR","VASANT VIHAR","Ex MP",5
"DELHI AND NCR",INDIRAPURAM,Jaurnalist,407
"DELHI AND NCR",PATPARGANJ,Serving,2420
"DELHI AND NCR","ZILLA SAINIK BOARD FARIDABAD",Serving,4819
"DELHI AND NCR",Narela,Pensioner,1501
"DELHI AND NCR",LAJPATNAGAR,Jaurnalist,33
"DELHI AND NCR",LAJPATNAGAR,Pensioner,3121
"DELHI AND NCR",LAJPATNAGAR,Serving,3253
"DELHI AND NCR","KIDWAI NAGAR","Freedom Fighter",1
"DELHI AND NCR","LAXMIBAI NAGAR",Serving,9606
"DELHI AND NCR",MOTIBAGH,"Freedom Fighter",6
"DELHI AND NCR",MOTIBAGH,"Ex MP",5
"DELHI AND NCR","VIKAS PURI",Serving,13447
"DELHI AND NCR","PUSA ROAD",Serving,1918
"DELHI AND NCR","PANDARA ROAD ","Lok Sabha MP",3
"DELHI AND NCR","PANDARA ROAD ",Serving,5579
"DELHI AND NCR","PATEL NAGAR-I(EAST)","Ex MP",4
"DELHI AND NCR","NETAJI NAGAR","Ex MP",3
"DELHI AND NCR","GREATER NOIDA ",Jaurnalist,170
"DELHI AND NCR","GREATER NOIDA ","Ex MP",9
"DELHI AND NCR","CHANKAYA PURI",Pensioner,1485
"DELHI AND NCR","KASTURBA NAGAR-I","Rajya Sabha MP",2
"DELHI AND NCR","KASTURBA NAGAR-I","Ex MP",10
"DELHI AND NCR","TILAK NAGAR",Jaurnalist,14
"DELHI AND NCR","CAG BUILDING",Serving,185
"DELHI AND NCR","NORTH AVENUE","Freedom Fighter",15
"DELHI AND NCR","NORTH AVENUE","Lok Sabha MP",10
"DELHI AND NCR","SOUTH AVENUE","Ex MP",705
"DELHI AND NCR","VILLAGE JHARODA KALAN  NAJAFGARH","Freedom Fighter",3
"DELHI AND NCR","SAROJINI NAGAR MARKET","Freedom Fighter",1
"DELHI AND NCR","SAROJINI NAGAR MARKET",Serving,830
"DELHI AND NCR","DWARKA SECTOR 9",Pensioner,18927
"DELHI AND NCR","DWARKA SECTOR 9","Ex MP",12
"DELHI AND NCR",SHRINIVASPURI,Jaurnalist,89
"DELHI AND NCR","PATEL NAGAR-II(WEST)",Jaurnalist,13
"DELHI AND NCR","PATEL NAGAR-II(WEST)",Serving,7313
"DELHI AND NCR","PATEL NAGAR-II(WEST)","Ex MP",3
"DELHI AND NCR","ANDREWS GANJ",Pensioner,2561
"DELHI AND NCR","ANDREWS GANJ","Ex MP",20
"DELHI AND NCR","JUNG PURA","Freedom Fighter",2
"DELHI AND NCR","DR Z.H ROAD","Freedom Fighter",2
"DELHI AND NCR","NEW RAJINDER NAGAR","Ex MP",2
"DELHI AND NCR","R K PURAM-II",Serving,9021
"DELHI AND NCR","MAYA PURI (HARI NAGAR)","Freedom Fighter",1
"DELHI AND NCR","MAYA PURI (HARI NAGAR)",Jaurnalist,12
"DELHI AND NCR",SHAHDARA,Jaurnalist,59
"DELHI AND NCR",SHAHDARA,Serving,27713
"DELHI AND NCR","R K PURAM-III ",Serving,6933
GUWAHATI,"GUWAHATI 3",Pensioner,2703
GUWAHATI,AiZwal,"Ex MP",7
GUWAHATI,"GUWAHATI 1",Pensioner,4264
GUWAHATI,KOHIMA,Serving,2886
GUWAHATI,Gangtok,"Ex MP",1
GUWAHATI,"GUWAHATI 5","Ex MP",3
GUWAHATI,"GUWAHATI 4","Freedom Fighter",4
GUWAHATI,"GUWAHATI 2",Pensioner,2526
HYDERABAD,GUNTUR,Serving,1781
HYDERABAD,KANCHANBAGH,Serving,22808
HYDERABAD,VISAKHAPATNAM,Pensioner,9715
HYDERABAD,"VISAKHAPATNAM WC NO 2","Ex MP",5
HYDERABAD,NELLORE,Serving,1244
HYDERABAD,VIJYAWADA,Serving,6768
HYDERABAD,"A. G COLONY",Pensioner,9543
HYDERABAD,DILSUKHNAGAR,"Freedom Fighter",877
HYDERABAD,"CGHS Polyclinic-II Saifabad",Pensioner,3
HYDERABAD,"PADMARAO NAGAR",Serving,5060
HYDERABAD,"HIMAYAT NAGAR","Ex MP",85
HYDERABAD,KACHIGUDA,"Ex MP",6
HYDERABAD,MALAKPET,"Freedom Fighter",257
HYDERABAD,MALAKPET,"Ex MP",4
JABALPUR,Adhartal,Serving,815
JABALPUR,"Westland Khamaria",Serving,1357
JABALPUR,"Westland Khamaria",Pensioner,6398
JABALPUR,"Napier Town","Lok Sabha MP",1
JABALPUR,"Kamla Nehru Nagar",Serving,4684
JAIPUR,"CHANDAN MAHAL","Freedom Fighter",1
JAIPUR,AJMER,Serving,5393
JAIPUR,"JANTA COLONY",Serving,1295
JAIPUR,"JYOTI NAGAR",Serving,6869
KANPUR,KENDRANCHAL,"Freedom Fighter",6
KANPUR,"RAKSHA VIHAR",Serving,11621
KANPUR,"RATAN LAL NAGAR",Serving,3982
KANPUR,"AZAD NAGAR",Pensioner,3268
KANPUR,"SAKET NAGAR","Ex MP",3
KANPUR,"R. K. NAGAR",Serving,1271
KOLKATA,SILIGURI,"Freedom Fighter",1
KOLKATA,"SALT LAKE  IC BLOCK DISPENSARY","Freedom Fighter",3
KOLKATA,"SALT LAKE  IC BLOCK DISPENSARY",Pensioner,2625
KOLKATA,"SALT LAKE  IC BLOCK DISPENSARY",Serving,6991
KOLKATA,"LAKE AREA","Ex MP",3
KOLKATA,"DOVER LANE","Freedom Fighter",315
KOLKATA,SHYAMBAZAR,"Ex MP",19
KOLKATA,RAJDANGA,"Freedom Fighter",113
KOLKATA,"BHOWANIPUR KALIGHAT","Ex MP",8
KOLKATA,"MINT COLONY","Freedom Fighter",60
KOLKATA,BELVEDERE,"Ex MP",5
KOLKATA,"BBD BAG ","Freedom Fighter",649
KOLKATA,"SANTRAGACHI ","Freedom Fighter",30
KOLKATA,"SALT LAKE ,AF",Pensioner,4016
KOLKATA,AIRPORT,Serving,7427
KOLKATA,"SALT LAKE  EB","Freedom Fighter",39
KOLKATA,"Motilal Gupta Road","Freedom Fighter",20
LUCKNOW,AGRA,Pensioner,2833
LUCKNOW,Aishbagh,Serving,384
LUCKNOW,Lucknow3,Serving,11849
LUCKNOW,Lucknow4,Pensioner,3223
LUCKNOW,Lucknow5,Pensioner,3262
LUCKNOW,Lucknow6,Pensioner,6030
MEERUT," CGHS WC MORADABAD",Pensioner,1298
MEERUT," CGHS WC MORADABAD",Serving,1407
MEERUT,"Vijay Nagar Meerut",Serving,1768
MEERUT,"Kanker Khera Meerut",Pensioner,5298
MEERUT,"S K Road Meerut",Pensioner,3392
MEERUT,"S K Road Meerut","Ex MP",9
MEERUT,"Lekha Nagar Meerut",Serving,6212
MEERUT," CGHS WC ALIGARH",Pensioner,1283
MUMBAI,"C G O NEW MARINE LINES","Freedom Fighter",15
MUMBAI,BOMBOLIM,Serving,5569
MUMBAI,"C G O NEW MARINE LINES",Serving,7103
MUMBAI,DEONAR,"Freedom Fighter",2
MUMBAI,OSHIWARA,"Freedom Fighter",2
MUMBAI,OSHIWARA,Serving,373
MUMBAI,BHANDUP,"Freedom Fighter",2
MUMBAI,BHANDUP,Pensioner,4218
MUMBAI,MULUND,"Freedom Fighter",7
MUMBAI,KANDIVALI,"Freedom Fighter",10
MUMBAI,"PAREL ",Pensioner,3203
MUMBAI,"PAREL ","Ex MP",1
MUMBAI,"KANJURMARG POWAI","Freedom Fighter",1
MUMBAI,SEEPZ,"Freedom Fighter",2
MUMBAI,SEEPZ,Pensioner,1907
MUMBAI,THAKURLI,Pensioner,6803
MUMBAI,SANTAKRUZ,Pensioner,8236
